committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00041160,MICHIGAN REPUBLICAN PARTY,2022,12G,202210279543126174,21B,BB5E6E368648B49649F2,1653839,COM,OTHER COMMITTEE,,,WINRED,VA,,,,,CC PROCESSING FEES,,,2022-10-19 00:00:00,25.01,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,Y,,U,F3X,4102720221592348924,ARLINGTON,222191891,OTHER,,2022,SB,4120120221632544663,https://docquery.fec.gov/cgi-bin/fecimg/?202210279543126174,Other Federal Operating Expenditures,,,,,,
C00041160,MICHIGAN REPUBLICAN PARTY,2022,12G,202210279543126166,21B,BCC9E3E2642F444A180F,1653839,ORG,ORGANIZATION,,,IMGE,VA,,,,,ONLINE FUNDRAISING FEE- NON CAND.,,,2022-10-19 00:00:00,126.62,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,,,,,,,,,,,,Y,,U,F3X,4102720221592348924,ALEXANDRIA,223143029,OTHER,,2022,SB,4120120221632544639,https://docquery.fec.gov/cgi-bin/fecimg/?202210279543126166,Other Federal Operating Expenditures,,,,,,
C00041160,MICHIGAN REPUBLICAN PARTY,2022,12G,202210279543126161,21B,B5B9521CBA36046C791C,1653839,ORG,ORGANIZATION,,,CONSERVATIVE CONNECTOR,MI,,,,,ONLINE FUNDRAISING FEE- NON CAND.,,,2022-10-19 00:00:00,45.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,,,,,,,,,,,,Y,,U,F3X,4102720221592348924,GRAND RAPIDS,49503,OTHER,,2022,SB,4120120221632544626,https://docquery.fec.gov/cgi-bin/fecimg/?202210279543126161,Other Federal Operating Expenditures,,,,,,
C00041160,MICHIGAN REPUBLICAN PARTY,2022,12G,202210279543126159,21B,BFBCFAEDBECEC4173AC4,1653839,ORG,ORGANIZATION,,,ANEDOT,LA,,,,,CC PROCESSING FEES,,,2022-10-19 00:00:00,38.08,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,,,,,,,,,,,,Y,,U,F3X,4102720221592348924,BATON ROUGE,708844314,OTHER,,2022,SB,4120120221632544619,https://docquery.fec.gov/cgi-bin/fecimg/?202210279543126159,Other Federal Operating Expenditures,,,,,,
C00041160,MICHIGAN REPUBLICAN PARTY,2022,12G,202210279543126159,21B,B0293A67FA174407BA91,1653839,ORG,ORGANIZATION,,,AD VICTORIAM,GA,,,,,ONLINE FUNDRAISING FEE- NON CAND.,,,2022-10-19 00:00:00,58.50,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,Y,,U,F3X,4102720221592348924,ALPHARETTA,300051612,OTHER,,2022,SB,4120120221632544618,https://docquery.fec.gov/cgi-bin/fecimg/?202210279543126159,Other Federal Operating Expenditures,,,,,,
C00041160,MICHIGAN REPUBLICAN PARTY,2022,12G,202210279543126177,30B,B1728A0C97BF84C37AAA,1653839,ORG,ORGANIZATION,,,BRESSER'S INFORMATION SERVICE,MI,,,,,EXEMPT VOL. MAIL/POSTAGE-PAUL JUNGE,,,2022-10-18 00:00:00,20224.24,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,,,,,,,,,,,,Y,,U,F3X,4102720221592348924,DETROIT,482022902,ADMINISTRATIVE,,2022,SB,4120120221632544669,https://docquery.fec.gov/cgi-bin/fecimg/?202210279543126177,Federal Election Activity Paid Entirely With Federal Funds,,,,,,
C00041160,MICHIGAN REPUBLICAN PARTY,2022,12G,202210279543126173,21B,BDF12B5DC60224B1C8CA,1653839,COM,OTHER COMMITTEE,,,WINRED,VA,,,,,CC PROCESSING FEES,,,2022-10-18 00:00:00,28.40,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,Y,,U,F3X,4102720221592348924,ARLINGTON,222191891,OTHER,,2022,SB,4120120221632544662,https://docquery.fec.gov/cgi-bin/fecimg/?202210279543126173,Other Federal Operating Expenditures,,,,,,
C00041160,MICHIGAN REPUBLICAN PARTY,2022,12G,202210279543126165,21B,B3D0D4FB09ADA4B8988B,1653839,ORG,ORGANIZATION,,,IMGE,VA,,,,,ONLINE FUNDRAISING FEE- NON CAND.,,,2022-10-18 00:00:00,111.66,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,,,,,,,,,,,,Y,,U,F3X,4102720221592348924,ALEXANDRIA,223143029,OTHER,,2022,SB,4120120221632544638,https://docquery.fec.gov/cgi-bin/fecimg/?202210279543126165,Other Federal Operating Expenditures,,,,,,
C00041160,MICHIGAN REPUBLICAN PARTY,2022,12G,202210279543126158,21B,BDE8A873C37174B1887A,1653839,ORG,ORGANIZATION,,,AD VICTORIAM,GA,,,,,ONLINE FUNDRAISING FEE- NON CAND.,,,2022-10-18 00:00:00,212.59,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,Y,,U,F3X,4102720221592348924,ALPHARETTA,300051612,OTHER,,2022,SB,4120120221632544617,https://docquery.fec.gov/cgi-bin/fecimg/?202210279543126158,Other Federal Operating Expenditures,,,,,,
C00041160,MICHIGAN REPUBLICAN PARTY,2022,12G,202210279543126173,21B,BEADAB5E4BF164DBF9A0,1653839,COM,OTHER COMMITTEE,,,WINRED,VA,,,,,CC PROCESSING FEES,,,2022-10-17 00:00:00,62.34,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,Y,,U,F3X,4102720221592348924,ARLINGTON,222191891,OTHER,,2022,SB,4120120221632544661,https://docquery.fec.gov/cgi-bin/fecimg/?202210279543126173,Other Federal Operating Expenditures,,,,,,
