committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00031054,MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE,2022,12G,202210279543256740,21B,500169908,1654184,ORG,ORGANIZATION,,,CAPITOL NATIONAL BANK,MI,,,,,BANK FEES,,,2022-10-19 00:00:00,5.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,,,,,,,,,,,,Y,,U,F3X,4102720221592349093,LANSING,489331320,OTHER,,2022,SB,4120120221632545077,https://docquery.fec.gov/cgi-bin/fecimg/?202210279543256740,Other Federal Operating Expenditures,,,,,,
C00031054,MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE,2022,12G,202210279543256740,21B,500169896,1654184,ORG,ORGANIZATION,,,CAPITOL NATIONAL BANK,MI,,,,,BANK FEES,,,2022-10-19 00:00:00,5.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,,,,,,,,,,,,Y,,U,F3X,4102720221592349093,LANSING,489331320,OTHER,,2022,SB,4120120221632545076,https://docquery.fec.gov/cgi-bin/fecimg/?202210279543256740,Other Federal Operating Expenditures,,,,,,
C00031054,MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE,2022,12G,202210279543256729,21B,500169528,1654184,ORG,ORGANIZATION,,,ACTBLUE TECHNICAL SERVICES,MA,,,,,MERCHANT FEES,,,2022-10-19 00:00:00,1703.79,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,,,,,,,,,,,,Y,,U,F3X,4102720221592349093,SOMERVILLE,021443132,OTHER,,2022,SB,4120120221632545044,https://docquery.fec.gov/cgi-bin/fecimg/?202210279543256729,Other Federal Operating Expenditures,,,,,,
C00031054,MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE,2022,12G,202210279543256792,30B,500170065,1654184,ORG,ORGANIZATION,,,SHAWMUT SERVICES LLC,OR,,,,,VOTER REGISTER SERVICES,,,2022-10-18 00:00:00,125000.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,,,,,,,,,,,,Y,,U,F3X,4102720221592349093,BEAVERTON,970087105,OTHER,,2022,SB,4120120221632545228,https://docquery.fec.gov/cgi-bin/fecimg/?202210279543256792,Federal Election Activity Paid Entirely With Federal Funds,,,,,,
C00031054,MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE,2022,12G,202210279543256771,30B,500170054,1654184,ORG,ORGANIZATION,,,GUMBINNER & DAVIES COMMUNICATIONS,DC,,,,,VOLUNTEER EXEMPT MAIL/DAN KILDEE/CD08,,,2022-10-18 00:00:00,56148.85,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,,,,,,,,,,,,Y,,U,F3X,4102720221592349093,WASHINGTON,200091125,OTHER,,2022,SB,4120120221632545166,https://docquery.fec.gov/cgi-bin/fecimg/?202210279543256771,Federal Election Activity Paid Entirely With Federal Funds,,,,,,
C00031054,MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE,2022,12G,202210279543256751,29,500169600,1654184,ORG,ORGANIZATION,,,WAYNE COUNTY DEMOCRATIC BLACK CAUCUS,MI,,,,,CONTRIBUTION,,,2022-10-18 00:00:00,1500.00,,,,,,,,,,,,,G2022,,GENERAL,2022,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,,,,,,,,,,,,Y,,U,F3X,4102720221592349093,DETROIT,482351247,OTHER,,2022,SB,4120120221632545106,https://docquery.fec.gov/cgi-bin/fecimg/?202210279543256751,Other Disbursements,,,,,,
C00031054,MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE,2022,12G,202210279543256750,28A,500168935,1654184,IND,INDIVIDUAL,,,"MALOUF, PATTY",MI,,,22Y,CONTRIBUTION REFUND TO INDIVIDUAL,CONTRIBUTION REFUND,,,2022-10-18 00:00:00,120.00,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,MALOUF,PATTY,,,,,,,,,,Y,,U,F3X,4102720221592349093,HOWELL,488432105,REFUNDS,,2022,SB,4120120221632545105,https://docquery.fec.gov/cgi-bin/fecimg/?202210279543256750,Refunds of Contributions Made to Individuals/Persons Other Than Political Committees,,,,,,
C00031054,MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE,2022,12G,202210279543256749,23,500169595,1654184,PTY,POLITICAL PARTY COMMITTEE,C00259481,C00259481,ASSOCIATION OF STATE DEMOCRATIC COMMITTEES,DC,ASSOCIATION OF STATE DEMOCRATIC COMMITTEES,,24G,TRANSFER OUT AFFILIATED,ASDC DUES,,,2022-10-18 00:00:00,2437.50,,,,,,,,,,,,,P,,PRIMARY,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,,,,,,,,,,,,Y,,U,F3X,4102720221592349093,WASHINGTON,200034024,TRANSFERS,,2022,SB,4120120221632545103,https://docquery.fec.gov/cgi-bin/fecimg/?202210279543256749,Contributions to Federal Candidates/Committees and Other Political Committees,,,,,,
C00031054,MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE,2022,12G,202210279543256747,21B,500169916,1654184,ORG,ORGANIZATION,,,THE ACTION FACTORY,IL,,,,,DIGITAL FUNDRAISING - NOT CANDIDATE RELATED,,,2022-10-18 00:00:00,323.25,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,,,,,,,,,,,,Y,,U,F3X,4102720221592349093,CHICAGO,606223212,OTHER,,2022,SB,4120120221632545099,https://docquery.fec.gov/cgi-bin/fecimg/?202210279543256747,Other Federal Operating Expenditures,,,,,,
C00031054,MICHIGAN DEMOCRATIC STATE CENTRAL COMMITTEE,2022,12G,202210279543256744,21B,500170035,1654184,ORG,ORGANIZATION,,,MOTOR CITY CASINO HOTEL DETROIT,MI,,,,,RENTAL DEPOSIT,,,2022-10-18 00:00:00,10000.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2022-12-02 04:06:28,,,,0.00,,,,,,,,,,,,Y,,U,F3X,4102720221592349093,DETROIT,482012907,ADMINISTRATIVE,,2022,SB,4120120221632545090,https://docquery.fec.gov/cgi-bin/fecimg/?202210279543256744,Other Federal Operating Expenditures,,,,,,
