Form ID,Lobbyist/Registrant,Organization/Firm,Employer,Registration Period
R001534,"Appel, Erin ","Capitol Strategies, LLC",Delta Bingo t/a Daily Double Bingo,11/01/19-10/31/20
R013716,"Appel, Erin ","Capitol Strategies, LLC",Abner's,11/01/22-10/31/23
R005354,"Appel, Erin ","Capitol Strategies, LLC",Delta Bingo t/a Daily Double Bingo,11/01/20-10/31/21
R005534,"Appel, Erin ","Capitol Strategies, LLC",MGM Resorts International,11/01/20-10/31/21
R014162,"Appel, Erin ","Capitol Strategies, LLC","Atlantic Bingo Supply, Inc",11/01/22-10/31/23
R001579,"Appel, Erin ","Capitol Strategies, LLC",MGM Resorts International,11/01/19-10/31/20
R011856,"Appel, Erin ","Capitol Strategies, LLC",Abner's,03/14/22-10/31/22
R001364,"Appel, Erin ","Capitol Strategies, LLC","Atlantic Bingo Supply, Inc",11/01/19-10/31/20
R009572,"Appel, Erin ","Capitol Strategies, LLC",MGM Resorts International,11/01/21-05/15/22
R014272,"Appel, Erin ","Capitol Strategies, LLC",Delta Bingo t/a Daily Double Bingo,11/01/22-10/31/23
R011904,"Arrington, Michael E",Capitol Connections,Arundel Amusements/Bingo World,04/04/22-10/31/22
R007582,"Arrington, Michael E",Capitol Connections,Evergreen Information Technology Services,03/02/21-10/31/21
R014891,"Bennett, Tyler ","Compass Government Relations Partners, LLC","PPE Casino Resorts Maryland, LLC",11/01/22-10/31/23
R010441,"Bennett, Tyler ","Compass Government Relations Partners, LLC","PPE Casino Resorts Maryland, LLC",11/01/21-10/31/22
R007489,"Bennett, Tyler ","Compass Government Relations Partners, LLC","PPE Casino Resorts Maryland, LLC",02/12/21-10/31/21
R006309,"Bereano, Bruce C",Office of Bruce C. Bereano,"Amuse-o-matic, Inc.",11/01/20-10/31/21
R006411,"Bereano, Bruce C",Office of Bruce C. Bereano,"Vendomatic, Inc.",11/01/20-10/31/21
R009012,"Bereano, Bruce C",Office of Bruce C. Bereano,"Amuse-o-matic, Inc.",11/01/21-10/31/22
R009159,"Bereano, Bruce C",Office of Bruce C. Bereano,"Vendomatic, Inc.",11/01/21-10/31/22
R002310,"Bryant, Eric L",Rifkin Weiner Livingston LLC,"CBAC Gaming, LLC (Horseshoe Casino)",11/01/19-07/05/20
R002346,"Bryant, Eric L",Rifkin Weiner Livingston LLC,Scientific Games Corporation,11/01/19-07/05/20
R004395,"Bryce, Joseph C",Manis Canning & Associates,"CBAC Gaming, LLC (Horseshoe Casino)",11/01/20-10/31/21
R000359,"Bryce, Joseph C",Manis Canning & Associates,"CBAC Gaming, LLC (Horseshoe Casino)",11/01/19-10/31/20
R012273,"Bryce, Joseph C",Manis Canning & Associates,"CBAC Gaming, LLC (Horseshoe Casino)",11/01/22-10/31/23
R008148,"Bryce, Joseph C",Manis Canning & Associates,"CBAC Gaming, LLC (Horseshoe Casino)",11/01/21-10/31/22
R014244,"Carpenter, Jonathan S","Greenwill Consulting Group, LLC","Delmock Technologies, Inc.",11/01/22-10/31/23
R011395,"Carrington, J. Darrell ",Carrington & Associates,Prince George's County Council,01/11/22-10/31/22
